"Sender, Recipient, Date 1","Sender, Recipient, Date 2",generated
Ashbel Smith,Anson Jones,619
James Hamilton,Anson Jones,620
Ashbel Smith,Anson Jones,621
Ashbel Smith,Anson Jones,622
Lord Aberdeen,Ashbel Smith,623
Lord Aberdeen,Ashbel Smith,624
Lord Aberdeen,Ashbel Smith,625
Ashbel Smith,Lord Aberdeen,626
Charles Elliot,G. W. Terrell,627
James Hamilton,Anson Jones,628
James Hamilton,Anson Jones,629
James Hamilton,Lords of the Treasury,630
H. U. Addington,James Hamilton,631
James Hamilton,Senior Officer of British Navy,632
G. W. Terrell,Charles Elliot,633
G. W. Terrell,Ashbel Smith,634
Charles Elliot,G. W. Terrell,635
Anson Jones,Sam Houston,636
Anson Jones,Charles Elliot,637
Ashbel Smith,Anson Jones,638
Lord Aberdeen,Ashbel Smith,639
Ashbel Smith,Lord Aberdeen,640
Ashbel Smith,Lord Aberdeen,641
Ashbel Smith,Lachlin M. Rate,642
Charles Elliot,Anson Jones,643
Anson Jones,Ashbel Smith,644
Anson Jones,Ashbel Smith,645
Anson Jones,Ashbel Smith,646
Charles Elliot,Anson Jones,647
Sam Houston,Charles Elliot,648
Anson Jones,Ashbel Smith,649
Charles Elliot,Anson Jones,650
Percy W. Doyle,Charles Elliot,651
Anson Jones,Charles Elliot,652
Anson Jones,Ashbel Smith,653
Ashbel Smith,Wm. Henry Daingerfield,654
Ashbel Smith,Anson Jones,655
Charles Elliot,Anson Jones,656
Anson Jones,Charles Elliot,657
Ashbel Smith,Wm. Henry Daingerfield,658
Ashbel Smith,Anson Jones,659
Ashbel Smith,Isaac Van Zandt,660
Ashbel Smith,Isaac Van Zandt,661
Ashbel Smith,Anson Jones,662
Ashbel Smith,Wm. Henry Daingerfield,663
Ashbel Smith,Wm. Henry Daingerfield,664
Ashbel Smith,Wm. Henry Daingerfield,665
Ashbel Smith,Anson Jones,666
Charles Elliot,Anson Jones,667
Anson Jones,Charles Elliot,668
Ashbel Smith,Anson Jones,669
Charles Elliot,Anson Jones,670
Anson Jones,Ashbel Smith,671
Ashbel Smith,Anson Jones,672
Baron de Cetto,Ashbel Smith,673
Ashbel Smith,Baron de Cetto,674
Charles Elliot,Anson Jones,675
Anson Jones,Charles Elliot,676
Anson Jones,Charles Elliot,677
Charles Elliot,Anson Jones,678
Anson Jones,Charles Elliot,679
Anson Jones,Charles Elliot,680
Ashbel Smith,Anson Jones,681
Ashbel Smith,Lord Aberdeen,682
Charles Elliot,Anson Jones,683
Anson Jones,Ashbel Smith,684
Charles Elliot,Anson Jones,685
Charles Elliot,Anson Jones,686
Ashbel Smith,Anson Jones,687
Edward Everett,Ashbel Smith,688
Ashbel Smith,Edward Everett,689
Charles Elliot,Anson Jones,690
Anson Jones,Charles Elliot,691
Anson Jones,Charles Elliot,692
Charles Elliot,Anson Jones,693
Charles Elliot,Anson Jones,694
Ashbel Smith,Anson Jones,695
Ashbel Smith,Anson Jones,696
Anson Jones,Ashbel Smith,697
Ashbel Smith,Anson Jones,698
Holford & Co.,undated 1159,699
Holford & Co.,July 21 1842,700
Anson Jones,Ashbel Smith,701
Ashbel Smith,Anson Jones,702
Ashbel Smith,Anson Jones,703
William Kennedy,Anson Jones,704
Anson Jones,G. W. Terrell,705
Anson Jones,William Kennedy,706
William Kennedy,Anson Jones,707
John Hall,William Kennedy,708
Ebenezer Allen,William Kennedy,709
G. W. Terrell,Ashbel Smith,710
G. W. Terrell,Wm. Henry Daingerfield,711
G. W. Terrell,Ashbel Smith,712
G. W. Terrell,Ashbel Smith,713
Charles Elliot,Ashbel Smith,714
G. W. Terrell,Wm. Henry Daingerfield,715
G. W. Terrell,Ashbel Smith,716
G. W. Terrell,Lord Clarendon,717
G. W. Terrell,Ashbel Smith,718
Ebenezer Allen,Ashbel Smith,719
Ashbel Smith,Ebenezer Allen,720
Ashbel Smith,Secretary of State [Allen],721
Ebenezer Allen,Ashbel Smith,722
Ebenezer Allen,Charles Elliot,723
Charles Elliot,Ebenezer Allen,724
Lord Aberdeen,Charles Elliot,725
Ebenezer Allen,Charles Elliot,726
J. Pinckney Henderson,R. A. Irion,727
J. Pinckney Henderson,Count Mol6,728
J. Pinckney Henderson,Count Mol6,729
Count Mol6,J. Pinckney Henderson,730
J. Pinckney Henderson,Count Mol6,731
R. A. Irion,J. Pinckney Henderson,732
R. A. Irion,J. Pinckney Henderson,733
J. Pinckney Henderson,R. A. Irion,734
J. Pinckney Henderson,Count Mol6,735
J. Pinckney Henderson,Count Mol6,736
Count Mol6,J. Pinckney Henderson,737
J. Pinckney Henderson,Count Mol6,738
J. Pinckney Henderson,Secretary of State [Irion],739
J. Pinckney Henderson,R. A. Irion,740
J. Pinckney Henderson,Mirabeau B. Lamar,741
J. Pinckney Henderson,Secretary of State [Irion],742
Count Mol6,J. Pinckney Henderson,743
J. Pinckney Henderson,Count Mol6,744
J. Pinckney Henderson,Count Mol6,745
J. Pinckney Henderson,Secretary of State [Irion],746
J. Pinckney Henderson,Secretary of State [Bee],747
J. Pinckney Henderson,Mirabeau B. Lamar,748
J. Pinckney Henderson,Barnard E. Bee,749
J. Pinckney Henderson,Barnard E. Bee,750
Abb6 Anduz6,Mirabeau B. Lamar,751
James Webb,Abb6 Anduz6,752
James Webb,Admiral Baudin,753
J. Pinckney Henderson,James Webb,754
J. Pinckney Henderson,James Webb,755
J. Pinckney Henderson,James Webb,756
J. Pinckney Henderson,Secretary of State [Burnet],757
Hamilton and Burnley,Mirabeau B. Lamar,758
James Hamilton,David G. Burnet,759
J. Pinckney Henderson,Secretary of State,760
J. Pinckney Henderson,Secretary of State,761
J. Pinckney Henderson,Secretary of State [Burnet],762
Lewis Cass,J. Pinckney Henderson,763
David G. Burnet,James Hamilton,764
J. Pinckney Henderson,David G. Burnet,765
J. Pinckney Henderson,Secretary of State [Burnet],766
Abner S. Lipscomb,James Hamilton,767
A. de Saligny,Abner S. Lipscomb,768
James Hamilton,Mirabeau B. Lamar,769
A. T. Biimley,Mirabeau B. Lamar,770
James Hamilton,Abner S. Lipscomb,771
James Hamilton,M. Guizot,772
James Hamilton,Abner S. Lipscomb,773
James Hamilton,Henry Castro,774
A. de Saligny,Secretary of State [Mayfield],775
James S. Mayfield,A. de Saligny,776
A. de Saligny,James S. Mayfield,777
James S. Mayfield,A. de Saligny,778
Henry J. Jewett,James S. Mayfield,779
A. de Saligny,James S. Mayfield,780
James S. Mayfield,A. de Saligny,781
A. de Saligny,James S. Mayfield,782
James S. Mayfield,A. de Saligny,783
A. de Saligny,James S. Mayfield,784
James Hamilton,Abner S. Lipscomb,785
James S. Mayfield,A. de Saligny,786
A. de Saligny,James S. Mayfield,787
A. de Saligny,James S. Mayfield,788
James S. Mayfield,A. de Saligny,789
A. de Saligny,James S. Mayfield,790
James S. Mayfield,Thos. Gales Forster,791
James S. Mayfield,Wm. Henry Daingerfield,792
